[# ERROR | 2019-08-20 | 20:19:29.796 | PID=7536 | ThreadId=10824 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.054 | PID=7536 | ThreadId=3988 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.236 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.334 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.435 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.534 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.635 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.734 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.835 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:19:31.934 | PID=7536 | ThreadId=5752 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2019-08-20 | 20:28:22.131 | PID=7536 | ThreadId=8508 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Acesso negado.] #]
[# ERROR | 2020-02-18 | 03:14:25.331 | PID=27176 | ThreadId=27360 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:25.444 | PID=27176 | ThreadId=27472 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:25.612 | PID=27176 | ThreadId=4376 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:29.514 | PID=27176 | ThreadId=26872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:29.626 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:29.726 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:29.826 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:29.927 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:30.026 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:30.127 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:30.226 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
[# ERROR | 2020-02-18 | 03:14:30.326 | PID=27176 | ThreadId= 856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: ???????? ? ???????.] #]
